Description of Emergency,Title of Emergency
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 06:07:14;,EMS: FALL VICTIM
FERNBROOK AVE & MAPLE AVE;  CHELTENHAM; Station 358A; 2015-12-16 @ 06:15:55;,EMS: DIABETIC EMERGENCY
HORSHAM RD & GREEN TREE TAVERN RD;  HORSHAM; Station 352; 2015-12-16 @ 06:14:55;,EMS: CARDIAC EMERGENCY
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 06:16:57;,EMS: HEMORRHAGING
MEETINGHOUSE RD & W COUNTY LINE RD; HORSHAM; 2015-12-16 @ 06:20:24;,Traffic: DISABLED VEHICLE -
CENTER AVE & SOUTH ST;  POTTSTOWN; Station 329; 2015-12-16 @ 06:24:05;,EMS: ABDOMINAL PAINS
GERMANTOWN PIKE & LAUNFALL RD; PLYMOUTH; 2015-12-16 @ 06:21:28-Station:STA44;,Fire: TRASH/DUMPSTER FIRE
SCHUYLKILL EXPY & WAVERLY RD UNDERPASS; LOWER MERION; 2015-12-16 @ 06:27:28;,Traffic: VEHICLE ACCIDENT -
BEATRICE AVE & SHORT WAY;  HORSHAM; Station 352; 2015-12-16 @ 06:37:11;,EMS: RESPIRATORY EMERGENCY
W LANCASTER AVE & N BRYN MAWR AVE; LOWER MERION; 2015-12-16 @ 06:38:48;,Traffic: DISABLED VEHICLE -
WILLOW GROVE AVE & BRIDLE RD; CHELTENHAM; 2015-12-16 @ 06:50:35-Station:STA1;,Fire: FIRE INVESTIGATION
3RD ST & N CHESTNUT ST;  LANSDALE; Station 345; 2015-12-16 @ 06:49:30;,EMS: RESPIRATORY EMERGENCY
NORRISTOWN RD;  LOWER GWYNEDD; Station 351; 2015-12-16 @ 06:54:18;,EMS: VEHICLE ACCIDENT
GERMANTOWN PIKE & RICHFIELD RD; EAST NORRITON; 2015-12-16 @ 06:51:04;,Traffic: VEHICLE ACCIDENT -
NORRISTOWN RD & MCKEAN RD; LOWER GWYNEDD; 2015-12-16 @ 06:54:07;,Traffic: VEHICLE ACCIDENT -
MONTGOMERY AVE & PRICE AVE; NARBERTH; 2015-12-16 @ 06:56:55;,Traffic: VEHICLE ACCIDENT -
HENNING RD & HILL RD; NEW HANOVER; 2015-12-16 @ 06:59:24;,Traffic: DISABLED VEHICLE -
BETHLEHEM PIKE & TENNIS AVE;  AMBLER; Station 351; 2015-12-16 @ 07:03:48;,EMS: CARDIAC EMERGENCY
4TH ST & JOHNSON ST;  POTTSTOWN; Station 329; 2015-12-16 @ 07:11:09;,EMS: CVA/STROKE
ROSS RD & W BORO LINE RD;  BRIDGEPORT; Station 317; 2015-12-16 @ 07:15:22;,EMS: RESPIRATORY EMERGENCY
BUTLER PIKE & NORRISTOWN RD;  UPPER DUBLIN; Station 351; 2015-12-16 @ 07:29:35;,EMS: FALL VICTIM
GERMANTOWN PIKE & ATRIUM WAY;  PLYMOUTH; Station 308; 2015-12-16 @ 07:28:23;,EMS: UNKNOWN MEDICAL EMERGENCY
SEITZ RD & N TOWNSHIP LINE RD; LIMERICK; 2015-12-16 @ 07:27:51;,Traffic: VEHICLE ACCIDENT -
BUTLER PIKE & KARRS LN; PLYMOUTH; 2015-12-16 @ 07:35:24-Station:STA44;,Fire: FIRE ALARM
ROSE VALLEY RD & MARIAN AVE;  BUCKS COUNTY; Station EMS; 2015-12-16 @ 07:34:50;,EMS: DIZZINESS
GERMANTOWN PIKE & CROSSKEYS RD; LOWER PROVIDENCE; 2015-12-16 @ 07:36:52;,Traffic: VEHICLE ACCIDENT -
DEKALB PIKE & HANCOCK RD; UPPER GWYNEDD; 2015-12-16 @ 07:41:58;,Traffic: VEHICLE ACCIDENT -
3RD ST & JOHNSON ST;  POTTSTOWN; Station 329; 2015-12-16 @ 07:55:36;,EMS: DIZZINESS
ASTOR ST & W AIRY ST;  NORRISTOWN; Station 308A; 2015-12-16 @ 07:54:16;,EMS: FALL VICTIM
HARLEYSVILLE PIKE & OLD MORRIS RD;  LOWER SALFORD; Station 344; 2015-12-16 @ 07:53:34;,EMS: SEIZURES
HEARTHSTONE RD & FOX RUN RD;  UPPER MERION; Station 317; 2015-12-16 @ 07:56:04;,EMS: HEAD INJURY
ORCHARD CT & COPPER BEECH DR;  WHITPAIN; Station 385; 2015-12-16 @ 08:00:07;,EMS: UNRESPONSIVE SUBJECT
MAIN ST & E 1ST AVE; COLLEGEVILLE; 2015-12-16 @ 07:59:05-Station:STA34;,Fire: DEBRIS/FLUIDS ON HIGHWAY
MAIN ST & E 1ST AVE; COLLEGEVILLE; 2015-12-16 @ 07:59:38;,Traffic: DEBRIS/FLUIDS ON HIGHWAY -
RED BARN RD & DEER RUN RD; UPPER MORELAND; 2015-12-16 @ 07:59:55;,Traffic: DISABLED VEHICLE -
HIGH ST & S FRANKLIN ST;  POTTSTOWN; Station 329; 2015-12-16 @ 08:03:06;,EMS: RESPIRATORY EMERGENCY
S TOWNSHIP LINE RD; LIMERICK; 2015-12-16 @ 08:10:41-Station:STA51;,Fire: VEHICLE ACCIDENT
S TOWNSHIP LINE RD & RAMP TOWNSHIP LINE RD TO RT422 EB; LIMERICK; 2015-12-16 @ 08:08:52;,Traffic: VEHICLE ACCIDENT -
SKIPPACK PIKE & OAK RIDGE DR; WHITPAIN; 2015-12-16 @ 08:07:19;,Traffic: VEHICLE ACCIDENT -
BROADWAY AVE & WATSON AVE; HORSHAM; 2015-12-16 @ 08:14:30-Station:STA15;,Fire: FIRE ALARM
LANCASTER AVE & FOXGLOVE LN; LOWER MERION; 2015-12-16 @ 08:20:40;,Traffic: HAZARDOUS ROAD CONDITIONS -
RT422  & TROUTMAN RD UNDERPASS; UPPER PROVIDENCE; 2015-12-16 @ 08:19:21;,Traffic: VEHICLE ACCIDENT -
RIDGE PIKE & RAMP I476 NB TO RIDGE PIKE EB; PLYMOUTH; 2015-12-16 @ 08:23:20;,Traffic: VEHICLE ACCIDENT -
4TH ST & STATE ST; EAST GREENVILLE; 2015-12-16 @ 08:23:57;,Traffic: VEHICLE ACCIDENT -
GRAVEL PIKE & MILL HILL RD; UPPER HANOVER; 2015-12-16 @ 08:23:57;,Traffic: VEHICLE ACCIDENT -
GLEN RD & WINDING RD;  ABINGTON; Station 382; 2015-12-16 @ 08:27:15;,EMS: DIABETIC EMERGENCY
3RD AVE & FAYETTE ST;  CONSHOHOCKEN; Station 313A; 2015-12-16 @ 08:29:25;,EMS: SEIZURES
EASTON RD & LINDEN AVE; UPPER MORELAND; 2015-12-16 @ 08:29:49;,Traffic: VEHICLE ACCIDENT -
DEKALB PIKE & COLONIAL DR; EAST NORRITON; 2015-12-16 @ 08:31:25-Station:STA61;,Fire: FIRE ALARM
4TH ST & JEFFERSON ST; EAST GREENVILLE; 2015-12-16 @ 08:23:57;,Traffic: VEHICLE ACCIDENT -
ELLIS WOODS RD & HERSHEY DR;  CHESTER COUNTY; Station EMS; 2015-12-16 @ 08:48:48;,EMS: UNRESPONSIVE SUBJECT
ALLENTOWN RD & WOODLAWN DR;  TOWAMENCIN; Station 345B; 2015-12-16 @ 08:54:39;,EMS: CVA/STROKE
ANDORRA GLEN CT & CRABAPPLE DR;  WHITEMARSH; Station 318; 2015-12-16 @ 08:58:49;,EMS: DIABETIC EMERGENCY
BRIANS WAY & RADNOR RD; UPPER MERION; 2015-12-16 @ 09:00:47-Station:STA47;,Fire: FIRE ALARM
GREENWOOD DR & DEER RUN RD;  UPPER MORELAND; Station 381; 2015-12-16 @ 09:04:17;,EMS: FALL VICTIM
HUNTERS LN & HEATHER RD;  SPRINGFIELD; Station 311; 2015-12-16 @ 09:03:45;,EMS: HEAD INJURY
YODER RD & FRETZ RD; LOWER SALFORD; 2015-12-16 @ 09:05:01;,Traffic: VEHICLE ACCIDENT -
GERMANTOWN PIKE & HANNAH AVE;  EAST NORRITON; Station 308; 2015-12-16 @ 09:09:46;,EMS: UNCONSCIOUS SUBJECT
WEST AVE & GREENWOOD AVE;  JENKINTOWN; Station 382; 2015-12-16 @ 09:15:27;,EMS: HEAD INJURY
EASTON RD & BROADWAY AVE; HORSHAM; 2015-12-16 @ 09:13:01;,Traffic: DISABLED VEHICLE -
MORRIS RD & ARMSTRONG DR; WORCESTER; 2015-12-16 @ 09:16:22-Station:STA83;,Fire: FIRE ALARM
STINE DR & FREELAND DR; COLLEGEVILLE; 2015-12-16 @ 09:21:44;,Traffic: VEHICLE ACCIDENT -
COLUMBIA AVE & OAK BLVD; TOWAMENCIN; 2015-12-16 @ 09:22:55-Station:STA76;,Fire: FIRE ALARM
WELSH RD & WALTON RD;  LOWER MORELAND; Station 355; 2015-12-16 @ 09:23:54;,EMS: CVA/STROKE
STINE DR & FREELAND DR; COLLEGEVILLE; 2015-12-16 @ 09:30:42;,Traffic: VEHICLE ACCIDENT -
CORSON ST & W BLACKBERRY ALY;  NORRISTOWN; Station 308A; 2015-12-16 @ 09:30:13;,EMS: ABDOMINAL PAINS
HILLCREST AVE; WHITEMARSH; 2015-12-16 @ 09:41:58-Station:STA56;,Fire: FIRE INVESTIGATION
DOCK DR & DEAD END;  TOWAMENCIN; Station 345B; 2015-12-16 @ 09:46:01;,EMS: BACK PAINS/INJURY
ARCH ST & DARTMOUTH DR;  NORRISTOWN; Station 308A; 2015-12-16 @ 09:54:02;,EMS: ABDOMINAL PAINS
FARMINGTON AVE & E 8TH ST;  POTTSTOWN; Station 329; 2015-12-16 @ 09:54:38;,EMS: CVA/STROKE
MEETINGHOUSE RD & DEKALB PIKE;  LOWER GWYNEDD; Station 351; 2015-12-16 @ 09:56:06;,EMS: CARDIAC EMERGENCY
DEKALB PIKE & RT202 PKWY; UPPER GWYNEDD; 2015-12-16 @ 09:56:16;,Traffic: VEHICLE ACCIDENT -
7TH ST & KENILWORTH AVE;  LANSDALE; Station 345; 2015-12-16 @ 10:03:29;,EMS: UNKNOWN MEDICAL EMERGENCY
HANOVER ST & CHESTNUT ST;  POTTSTOWN; Station 329; 2015-12-16 @ 10:01:38;,EMS: ALTERED MENTAL STATUS
FULMER RD & B AVE;  LOWER FREDERICK; Station 331; 2015-12-16 @ 10:02:17;,EMS: RESPIRATORY EMERGENCY
LANCASTER AVE & MORTON RD;  LOWER MERION; Station 313; 2015-12-16 @ 10:06:19;,EMS: GENERAL WEAKNESS
SWEDE RD & ERBS MILL RD; WHITPAIN; 2015-12-16 @ 10:06:58;,Traffic: VEHICLE ACCIDENT -
STONYBROOK DR & N WHITEHALL RD;  WEST NORRITON; Station 308B; 2015-12-16 @ 10:13:00;,EMS: FALL VICTIM
MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-16 @ 10:14:48;,EMS: HEAD INJURY
TROOPER RD & EGYPT RD; WEST NORRITON; 2015-12-16 @ 10:14:13-Station:STA46;,Fire: FIRE ALARM
CENTENNIAL ST & RAHNS RD; PERKIOMEN; 2015-12-16 @ 10:26:04-Station:STA66;,Fire: GAS-ODOR/LEAK
INDUSTRIAL DR & HOLLY RD;  DOUGLASS; Station 332; 2015-12-16 @ 10:28:11;,EMS: CVA/STROKE
ASHLEY TER & GATEWAY DR;  FRANCONIA; Station 339; 2015-12-16 @ 10:27:36;,EMS: HEAD INJURY
OAK ST & BODEY ALY;  NORRISTOWN; Station 308A; 2015-12-16 @ 10:33:23;,EMS: RESPIRATORY EMERGENCY
DENBIGH LN & WEYBRIDGE LN;  UPPER MERION; Station 317; 2015-12-16 @ 10:37:47;,EMS: RESPIRATORY EMERGENCY
QUIGLEY AVE & SILVER AVE;  UPPER MORELAND; Station 381; 2015-12-16 @ 10:36:39;,EMS: CVA/STROKE
PLYMOUTH RD & IRWINS LN; PLYMOUTH; 2015-12-16 @ 10:37:52;,Traffic: DISABLED VEHICLE -
BOONE AVE & HAMMOND PL;  ABINGTON; Station 381; 2015-12-16 @ 10:45:34;,EMS: SEIZURES
RAMBLEWOOD LN & WILLOW LN;  MONTGOMERY; Station 345A; 2015-12-16 @ 10:41:38;,EMS: UNRESPONSIVE SUBJECT
OLD YORK RD & GUERNSEY AVE;  ABINGTON; Station 381; 2015-12-16 @ 10:46:41;,EMS: UNKNOWN MEDICAL EMERGENCY
CAMP HILL RD & BETHLEHEM PIKE;  WHITEMARSH; Station 318; 2015-12-16 @ 10:50:57;,EMS: CARDIAC EMERGENCY
BETHLEHEM PIKE & SKIPPACK PIKE; WHITEMARSH; 2015-12-16 @ 10:49:11;,Traffic: VEHICLE ACCIDENT -
GULPH RD & KIRK AVE;  UPPER MERION; Station 317; 2015-12-16 @ 10:59:20;,EMS: FALL VICTIM
MAIN ST & FORD ST;  NORRISTOWN; Station 308A; 2015-12-16 @ 11:01:36;,EMS: MATERNITY
MAIN ST & OLD SUMNEYTOWN PIKE;  LOWER SALFORD; Station 344; 2015-12-16 @ 11:08:39;,EMS: ALTERED MENTAL STATUS
BLAIR MILL RD & EASTON RD;  UPPER MORELAND; Station 384; 2015-12-16 @ 11:09:13;,EMS: LACERATIONS
THE FAIRWAY  & RYDAL RD; ABINGTON; 2015-12-16 @ 11:10:30;,Traffic: VEHICLE ACCIDENT -
VALLEY LN & N KEIM ST;  LOWER POTTSGROVE; Station 329; 2015-12-16 @ 11:19:53;,EMS: RESPIRATORY EMERGENCY
LILAC CT & PRIMROSE DR;  UPPER GWYNEDD; Station 345B; 2015-12-16 @ 11:24:45;,EMS: CVA/STROKE
MARKLEY ST & W LOGAN ST;  NORRISTOWN; Station 308A; 2015-12-16 @ 11:25:13;,EMS: FALL VICTIM
BERGEY RD & BETHLEHEM PIKE; BUCKS COUNTY; 2015-12-16 @ 11:27:28;,Traffic: VEHICLE ACCIDENT -
THE FAIRWAY  & RYDAL RD; ABINGTON; 2015-12-16 @ 11:35:33;,Traffic: VEHICLE ACCIDENT -
HARLEY RD & E CEDARVILLE RD;  CHESTER COUNTY; Station 3A84; 2015-12-16 @ 11:34:37;,EMS: CARDIAC EMERGENCY
EDGE HILL RD & WOODLAND RD;  ABINGTON; Station 381; 2015-12-16 @ 11:42:05;,EMS: HEAD INJURY
GRANGE AVE & MILL RD; SKIPPACK; 2015-12-16 @ 11:50:54;,Traffic: DISABLED VEHICLE -
TRESSLER DR & SHAW DR;  UPPER DUBLIN; Station 351; 2015-12-16 @ 11:53:49;,EMS: UNRESPONSIVE SUBJECT
OLD YORK RD & WOODLAND RD;  ABINGTON; Station 381; 2015-12-16 @ 12:00:19;,EMS: SEIZURES
CHARLOTTE ST & SWAMP PIKE;  NEW HANOVER; Station 332; 2015-12-16 @ 11:56:23;,EMS: CARDIAC EMERGENCY
WOODLAWN AVE & NASH AVE; UPPER MORELAND; 2015-12-16 @ 11:58:59;,Traffic: ROAD OBSTRUCTION -
PLYMOUTH RD & IRWINS LN;  PLYMOUTH; Station 308; 2015-12-16 @ 12:05:26;,EMS: HEMORRHAGING
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 12:04:59;,EMS: MEDICAL ALERT ALARM
WILSON ST & BURDAN DR; POTTSTOWN; 2015-12-16 @ 12:01:27-Station:STA69;,Fire: GAS-ODOR/LEAK
RIDINGS WAY & WOLF LN;  WHITPAIN; Station 385; 2015-12-16 @ 12:09:41;,EMS: SEIZURES
GERMANTOWN PIKE & WALTON RD;  PLYMOUTH; Station 308; 2015-12-16 @ 12:12:06;,EMS: ALTERED MENTAL STATUS
CONSHOHOCKEN STATE RD & E CITY AVE;  LOWER MERION; Station 313; 2015-12-16 @ 12:13:20;,EMS: DIZZINESS
SPRINGVIEW RD & LAWNTON RD;  EAST NORRITON; Station 308; 2015-12-16 @ 12:19:43;,EMS: GENERAL WEAKNESS
GERMANTOWN PIKE & LAUNFALL RD;  PLYMOUTH; Station 308; 2015-12-16 @ 12:19:10;,EMS: HEAD INJURY
PINE ST & W ROBERTS ST;  NORRISTOWN; Station 308A; 2015-12-16 @ 12:18:03;,EMS: CARDIAC EMERGENCY
CANYON CREEK RD; NEW HANOVER; 2015-12-16 @ 12:30:01-Station:STA37;,Fire: GAS-ODOR/LEAK
N LEWIS RD & RT422 OVERPASS; LIMERICK; 2015-12-16 @ 12:28:48;,Traffic: VEHICLE ACCIDENT -
BELMONT AVE & E CITY AVE; LOWER MERION; 2015-12-16 @ 12:34:44;,Traffic: VEHICLE ACCIDENT -
N LEWIS RD & RAMP RT422 EB TO N LEWIS RD; LIMERICK; 2015-12-16 @ 12:28:48;,Traffic: VEHICLE ACCIDENT -
SUSQUEHANNA RD & HUNTINGDON RD;  ABINGTON; Station 381; 2015-12-16 @ 12:49:37;,EMS: SYNCOPAL EPISODE
ALLENDALE RD & ELLIOTT DR; UPPER MERION; 2015-12-16 @ 12:51:36;,Traffic: DISABLED VEHICLE -
GREENFIELD AVE & W LANCASTER AVE; LOWER MERION; 2015-12-16 @ 12:53:04;,Traffic: VEHICLE ACCIDENT -
EVERGREEN RD & W LIGHTCAP RD;  LOWER POTTSGROVE; Station 329; 2015-12-16 @ 13:00:02;,EMS: CARDIAC EMERGENCY
CHURCH RD;  ROCKLEDGE; Station 382; 2015-12-16 @ 12:59:38;,EMS: VEHICLE ACCIDENT
CHURCH RD & HUNTINGDON PIKE; ROCKLEDGE; 2015-12-16 @ 12:59:46;,Traffic: VEHICLE ACCIDENT -
ORVILLA RD & COWPATH RD; HATFIELD TOWNSHIP; 2015-12-16 @ 13:01:52;,Traffic: VEHICLE ACCIDENT -
CHURCH AVE & AUTUMN LEA CIR;  TELFORD; Station 339; 2015-12-16 @ 13:08:36;,EMS: DIABETIC EMERGENCY
MONTGOMERY AVE & CHURCH RD;  LOWER MERION; Station 313; 2015-12-16 @ 13:19:20;,EMS: UNCONSCIOUS SUBJECT
S COLLEGEVILLE RD & BLACK ROCK RD; UPPER PROVIDENCE; 2015-12-16 @ 13:19:39;,Traffic: DISABLED VEHICLE -
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 13:25:58;,EMS: SUBJECT IN PAIN
SWINEHART RD & MILL ST;  DOUGLASS; Station 332; 2015-12-16 @ 13:36:05;,EMS: DIZZINESS
FOX CHASE RD & HUNTINGDON PIKE;  ROCKLEDGE; Station 382; 2015-12-16 @ 13:37:04;,EMS: SYNCOPAL EPISODE
DERRY DR & DONOVAN CT;  UPPER GWYNEDD; Station 345; 2015-12-16 @ 13:37:47;,EMS: BACK PAINS/INJURY
HIGH ST & SUNNYSIDE AVE;  LOWER POTTSGROVE; Station 329; 2015-12-16 @ 13:44:17;,EMS: OVERDOSE
RIDGE PIKE & MAIN AVE;  PLYMOUTH; Station 308; 2015-12-16 @ 13:41:25;,EMS: DIABETIC EMERGENCY
SKIPPACK PIKE & CRESTLINE DR;  WHITPAIN; Station 385; 2015-12-16 @ 13:41:56;,EMS: FALL VICTIM
SHANNONDELL DR & SHANNONDELL BLVD;  LOWER PROVIDENCE; Station 322A; 2015-12-16 @ 13:48:32;,EMS: CVA/STROKE
GERMANTOWN PIKE & LAUNFALL RD;  PLYMOUTH; Station 308; 2015-12-16 @ 13:49:09;,EMS: SYNCOPAL EPISODE
W MONTGOMERY AVE & NEW GULPH RD; LOWER MERION; 2015-12-16 @ 13:48:17;,Traffic: DISABLED VEHICLE -
OUTER LINE DR & GULPH RD; UPPER MERION; 2015-12-16 @ 13:54:03-Station:STA47;,Fire: VEHICLE ACCIDENT
OUTER LINE DR & GULPH RD;  UPPER MERION; Station 317; 2015-12-16 @ 13:54:12;,EMS: VEHICLE ACCIDENT
COMMERCE DR & RT309 OVERPASS; UPPER DUBLIN; 2015-12-16 @ 13:52:44-Station:STA88;,Fire: FIRE ALARM
OUTER LINE DR & GULPH RD; UPPER MERION; 2015-12-16 @ 13:53:49;,Traffic: VEHICLE ACCIDENT -
OUTER LINE DR & GULPH RD; UPPER MERION; 2015-12-16 @ 13:54:39;,Traffic: VEHICLE ACCIDENT -
GULPH RD; UPPER MERION; 2015-12-16 @ 13:54:03-Station:STA47;,Fire: VEHICLE ACCIDENT
ALLENTOWN RD & WOODLAWN DR;  TOWAMENCIN; Station 345B; 2015-12-16 @ 13:59:44;,EMS: HEAD INJURY
CITY AVE & MONUMENT RD;  LOWER MERION; Station 313; 2015-12-16 @ 13:59:15;,EMS: FALL VICTIM
GULPH RD;  UPPER MERION; Station 317; 2015-12-16 @ 13:54:12;,EMS: VEHICLE ACCIDENT
GULPH RD & BAPTIST TRACE RD; UPPER MERION; 2015-12-16 @ 13:53:49;,Traffic: VEHICLE ACCIDENT -
GULPH RD & BAPTIST TRACE RD; UPPER MERION; 2015-12-16 @ 13:54:39;,Traffic: VEHICLE ACCIDENT -
UNION MEETING RD & HARVEST DR;  WHITPAIN; Station 385; 2015-12-16 @ 14:04:24;,EMS: CARDIAC EMERGENCY
HIGHLAND AVE & MIFFLIN ST; SOUDERTON; 2015-12-16 @ 14:10:13-Station:STA74;,Fire: ELECTRICAL FIRE OUTSIDE
LINFIELD TRAPPE RD & WEAVER LN;  LIMERICK; Station 324A; 2015-12-16 @ 14:23:18;,EMS: CARDIAC EMERGENCY
PRESIDENTIAL BLVD & E CITY AVE;  LOWER MERION; Station 313; 2015-12-16 @ 14:24:28;,EMS: MEDICAL ALERT ALARM
PROGRESS DR & KEYSTONE DR; MONTGOMERY; 2015-12-16 @ 14:30:12-Station:STA18;,Fire: FIRE ALARM
GLENN RD & ST GEORGES RD;  LOWER MERION; Station 313; 2015-12-16 @ 14:30:38;,EMS: HEAD INJURY
HARRISON AVE & MONTGOMERY AVE; CHELTENHAM; 2015-12-16 @ 14:28:34;,Traffic: VEHICLE ACCIDENT -
HILLTOP LN & E GLENSIDE AVE;  CHELTENHAM; Station 358A; 2015-12-16 @ 14:31:37;,EMS: RESPIRATORY EMERGENCY
THE FAIRWAY  & RYDAL RD;  ABINGTON; Station 382; 2015-12-16 @ 14:33:13;,EMS: ABDOMINAL PAINS
ARMAND HAMMER BLVD & SUNSET DR;  POTTSTOWN; Station 329; 2015-12-16 @ 14:32:44;,EMS: CARDIAC EMERGENCY
THORNBROOK AVE & IVYMONT RD; LOWER MERION; 2015-12-16 @ 14:33:45-Station:STA23;,Fire: FIRE ALARM
OLD YORK RD & BAEDER RD; ABINGTON; 2015-12-16 @ 14:41:47;,Traffic: VEHICLE ACCIDENT -
CAMBRIDGE CT & GATEWAY DR;  FRANCONIA; Station 339; 2015-12-16 @ 14:42:54;,EMS: NAUSEA/VOMITING
MAIN ST & SWEDE ST; NORRISTOWN; 2015-12-16 @ 14:44:50-Station:STA27;,Fire: FIRE ALARM
MAIN ST & N 4TH AVE; ROYERSFORD; 2015-12-16 @ 14:44:49;,Traffic: DISABLED VEHICLE -
HUNTINGDON PIKE & MOREDON RD; ABINGTON; 2015-12-16 @ 14:42:45;,Traffic: VEHICLE ACCIDENT -
COLLEGE AVE & N COLLEGE AVE;  SPRINGFIELD; Station 311; 2015-12-16 @ 14:55:20;,EMS: BACK PAINS/INJURY
BREYER DR & LINDEN DR;  CHELTENHAM; Station 358; 2015-12-16 @ 14:52:33;,EMS: BACK PAINS/INJURY
CITY AVE & CONSHOHOCKEN STATE RD; LOWER MERION; 2015-12-16 @ 14:57:01-Station:STA28;,Fire: FIRE ALARM
N CHARLOTTE ST & WILSON ST; POTTSTOWN; 2015-12-16 @ 15:00:21;,Traffic: VEHICLE ACCIDENT -
SCHUYLKILL EXPY & TRINITY LN UNDERPASS; UPPER MERION; 2015-12-16 @ 15:04:39-Station:STA48;,Fire: TRASH/DUMPSTER FIRE
RIDGE PIKE & OAKWYN RD;  WHITEMARSH; Station 318; 2015-12-16 @ 15:11:10;,EMS: FALL VICTIM
SHOPPERS LN & WASHINGTON LN; CHELTENHAM; 2015-12-16 @ 15:18:30;,Traffic: VEHICLE ACCIDENT -
14TH AVE & HALLOWELL ST;  WHITEMARSH; Station 318; 2015-12-16 @ 15:32:20;,EMS: UNCONSCIOUS SUBJECT
CAMPUS DR & BUCK RD; BRYN ATHYN; 2015-12-16 @ 15:31:23-Station:STA11;,Fire: FIRE ALARM
WASHINGTON ST & CHESTNUT ST;  POTTSTOWN; Station 329; 2015-12-16 @ 15:38:38;,EMS: CARDIAC EMERGENCY
MAIN ST & W 8TH ST; PENNSBURG; 2015-12-16 @ 15:38:20;,Traffic: VEHICLE ACCIDENT -
MAIN ST & W 8TH ST; PENNSBURG; 2015-12-16 @ 15:43:23-Station:STA65;,Fire: VEHICLE ACCIDENT
SPRING AVE & S CHESTER AVE; HATBORO; 2015-12-16 @ 15:45:16-Station:STA95;,Fire: BUILDING FIRE
SUSQUEHANNA RD & COLONIAL AVE; ABINGTON; 2015-12-16 @ 15:43:36;,Traffic: VEHICLE ACCIDENT -
HUNTINGDON PIKE & BERKELEY AVE; ABINGTON; 2015-12-16 @ 16:01:44;,Traffic: VEHICLE ACCIDENT -
GULPH RD & LONG RD; UPPER MERION; 2015-12-16 @ 16:02:36;,Traffic: VEHICLE ACCIDENT -
HANOVER ST & AIRY ST;  POTTSTOWN; Station 329; 2015-12-16 @ 16:08:52;,EMS: SEIZURES
YARNALL RD & SNYDER RD;  UPPER POTTSGROVE; Station 329; 2015-12-16 @ 16:11:57;,EMS: ALTERED MENTAL STATUS
SUNNYBROOK RD & E HIGH ST;  LOWER POTTSGROVE; Station 329; 2015-12-16 @ 16:12:54;,EMS: DIZZINESS
PHILMONT AVE; LOWER MORELAND; 2015-12-16 @ 16:25:16-Station:STA8;,Fire: VEHICLE ACCIDENT
PHILMONT AVE;  LOWER MORELAND; Station 355; 2015-12-16 @ 16:25:27;,EMS: VEHICLE ACCIDENT
PACKHAM CT & PEARTREE CIR; FRANCONIA; 2015-12-16 @ 16:22:51-Station:STA75;,Fire: FIRE ALARM
VALLEY FORGE RD & GENERAL SCOTT RD;  UPPER MERION; Station 317; 2015-12-16 @ 16:23:47;,EMS: ALTERED MENTAL STATUS
MORELAND AVE & S YORK RD;  HATBORO; Station 384; 2015-12-16 @ 16:22:24;,EMS: HEAD INJURY
CITY AVE & N 59TH ST; LOWER MERION; 2015-12-16 @ 16:21:04;,Traffic: VEHICLE ACCIDENT -
PHILMONT AVE & TOMLINSON RD; LOWER MORELAND; 2015-12-16 @ 16:23:19;,Traffic: VEHICLE ACCIDENT -
YARNALL RD & MAUGERS MILL RD; UPPER POTTSGROVE; 2015-12-16 @ 16:25:29;,Traffic: VEHICLE ACCIDENT -
YARNALL RD & MAUGERS MILL RD; UPPER POTTSGROVE; 2015-12-16 @ 16:26:40-Station:STA79;,Fire: VEHICLE ACCIDENT
TOOKANY CREEK PKWY;  CHELTENHAM; Station 358; 2015-12-16 @ 16:30:15;,EMS: VEHICLE ACCIDENT
HAWS LN & FRASER RD;  SPRINGFIELD; Station 311; 2015-12-16 @ 16:27:51;,EMS: ALTERED MENTAL STATUS
YARNALL RD & MAUGERS MILL RD;  UPPER POTTSGROVE; Station 329; 2015-12-16 @ 16:26:48;,EMS: VEHICLE ACCIDENT
TOOKANY CREEK PKWY & NEW SECOND ST; CHELTENHAM; 2015-12-16 @ 16:29:09;,Traffic: VEHICLE ACCIDENT -
TOMLINSON RD & PHILMONT AVE; LOWER MORELAND; 2015-12-16 @ 16:27:38;,Traffic: VEHICLE ACCIDENT -
2ND AVE & STINE DR; COLLEGEVILLE; 2015-12-16 @ 16:32:17;,Traffic: VEHICLE ACCIDENT -
E BUTLER AVE & N BETHLEHEM PIKE; AMBLER; 2015-12-16 @ 16:39:21;,Traffic: VEHICLE ACCIDENT -
MT PLEASANT RD & LAKEMONT RD; LOWER MERION; 2015-12-16 @ 16:43:55-Station:STA23;,Fire: FIRE ALARM
